Title,Location,Price,Bedrooms,Bathrooms,Features,URL,Created_Date
Rumah mewah private pool dalam cluster utara bandara adisucipto Jogja,"Jalan raya solo-jogja, Kalasan, Sleman, DI Yogyakarta","Rp 2,2 M",4,4,"4  4 , 125 m², Rp 12.571.429 per m²",https://www.rumah.comhttps://www.rumah.com/listing-properti/dijual-rumah-mewah-private-pool-dalam-cluster-utara-bandara-adisucipto-jogja-oleh-artana-21995186,20230812_093203
Rumah mewah timur pasar Redjodani dengan kolam renang SHM SLEMAN,"JL JETIS BULUSARI, Ngaglik, Sleman, DI Yogyakarta","Rp 2,18 M",4,3,"4  3 , 110 m², Rp 10.900.000 per m²",https://www.rumah.comhttps://www.rumah.com/listing-properti/dijual-rumah-mewah-timur-pasar-redjodani-dengan-kolam-renang-shm-sleman-oleh-imam-21734447,20230812_093203
Rumah Murah Sleman Dekat Kampus UMY + Taman Bermain Villa Sejuk,"jl wates km 6 gamping sleman, Gamping, Sleman, DI Yogyakarta","Rp 575,4 jt",2,1,"2  1 , 40 m², Rp 7.192.500 per m²",https://www.rumah.comhttps://www.rumah.com/listing-properti/dijual-rumah-murah-sleman-dekat-kampus-umy-taman-bermain-villa-sejuk-oleh-tika-22001079,20230812_093203
Kost Dijual Jogja Eksklusif Barat Kampus UII,"Jalan Kaliurang Km 14 Dekat Kampus UII Jogja, Ngaglik, Sleman, DI Yogyakarta","Rp 2,8855 M",10,10,"10  10 , 179 m², Rp 13.675.355 per m²",https://www.rumah.comhttps://www.rumah.com/listing-properti/dijual-kost-dijual-jogja-eksklusif-barat-kampus-uii-oleh-ichsan-21992722,20230812_093203
RUMAH MEWAH DALAM CLUSTER VIEW SAWAH DEKAT AAU ADISUCIPTO JOGJA,"Jl. Raya Berbah Utara, Sleman, Sleman, DI Yogyakarta","Rp 1,224 M",3,3,"3  3 , 100 m², Rp 11.883.495 per m²",https://www.rumah.comhttps://www.rumah.com/listing-properti/dijual-rumah-mewah-dalam-cluster-view-sawah-dekat-aau-adisucipto-jogja-oleh-rudi-21999920,20230812_093203
"700 meter Jl. Jogja-Solo, Tanah Jogja; Dikalasan","Jl. Jogja - Solo, Kalasan, Sleman,Yogyakarta, Tegalrejo, Yogyakarta, DI Yogyakarta","Rp 3,9 jt",N/A,N/A,"Studio , 130 m² (tanah), Rp 30.000 per m²",https://www.rumah.comhttps://www.rumah.com/listing-properti/dijual-700-meter-jl-jogja-solo-tanah-jogja-dikalasan-oleh-mualifin-22071980,20230812_093203
TANAH SUPER MURAH DEKAT SLEMAN CITY MALL DI JALAN MAGELANG KM 11,"JALAN MAGELANG KM 11, Sleman, Sleman, DI Yogyakarta","Rp 4,0638 M",N/A,N/A,"1042 m² (tanah), Rp 3.900.000 per m²",https://www.rumah.comhttps://www.rumah.com/listing-properti/dijual-tanah-super-murah-dekat-sleman-city-mall-di-jalan-magelang-km-11-oleh-uut-22080513,20230812_093203
AJB Notaris: Tanah Kulonprogo Hanya 1 Juta-an/m2,"Kulonprogo, Sleman, Wates, Jogja, Nanggulan, Kraton, Yogyakarta, DI Yogyakarta",Rp 132 jt,N/A,N/A,"110 m² (tanah), Rp 1.200.000 per m²",https://www.rumah.comhttps://www.rumah.com/listing-properti/dijual-ajb-notaris-tanah-kulonprogo-hanya-1-juta-an-m2-oleh-xena-qiana-21665237,20230812_093203
190 Juta-an: Pekarangan Barat Kampus UII,"Kaliurang, Palagan, Monjali, Sleman, Jogja, Kraton, Yogyakarta, DI Yogyakarta","Rp 191,25 jt",N/A,N/A,"85 m² (tanah), Rp 2.250.000 per m²",https://www.rumah.comhttps://www.rumah.com/listing-properti/dijual-190-juta-an-pekarangan-barat-kampus-uii-oleh-xena-qiana-21694679,20230812_093203
Rumah Cantik Dekat Jalan Raya Tajem,"Ngemplak, Sleman, DI Yogyakarta",Rp 980 jt,4,2,"4  2 , 150 m², Rp 6.282.051 per m²",https://www.rumah.comhttps://www.rumah.com/listing-properti/dijual-rumah-cantik-dekat-jalan-raya-tajem-oleh-alfian-febriansyah-22079532,20230812_093203
Rumah Mewah 2 Lantai Dekat Masjid Suciati Jln Magelang,"Ngaglik, Sleman, DI Yogyakarta",Rp 2 M,3,2,"3  2 , 175 m², Rp 14.388.489 per m²",https://www.rumah.comhttps://www.rumah.com/listing-properti/dijual-rumah-mewah-2-lantai-dekat-masjid-suciati-jln-magelang-oleh-alfian-febriansyah-22040673,20230812_093203
Rumah 3 Menit Ke Jln Kaliurang km 12,"Ngaglik, Sleman, DI Yogyakarta",Rp 650 jt,2,1,"2  1 , 60 m², Rp 7.222.222 per m²",https://www.rumah.comhttps://www.rumah.com/listing-properti/dijual-rumah-3-menit-ke-jln-kaliurang-km-12-oleh-alfian-febriansyah-22040495,20230812_093203
"Belakang Hotel Hyatt, Tanah Jogja, Area Perumhan Premium","Jl. Palagan, Sleman, Yogyakarta, Kotagede, Yogyakarta, DI Yogyakarta","Rp 4,9 jt",N/A,N/A,"Studio , 112 m² (tanah), Rp 43.750 per m²",https://www.rumah.comhttps://www.rumah.com/listing-properti/dijual-belakang-hotel-hyatt-tanah-jogja-area-perumhan-premium-oleh-mualifin-22071927,20230812_093203
Sleman,"Jalan Magelang, Sleman, Sleman, DI Yogyakarta",Rp 885 jt,3,2,"3  2 , 116 m², Rp 7.629.310 per m²",https://www.rumah.comhttps://www.rumah.com/listing-properti/dijual-sleman-oleh-elin-nur-merdiasari-21933599,20230812_093203
Rumah Cantik Dalam Perumahan Tidak Jauh Dari Jln Kaliurang,"Ngemplak, Sleman, DI Yogyakarta","Rp 1,659 M",3,4,"3  4 , 120 m², Rp 11.520.833 per m²",https://www.rumah.comhttps://www.rumah.com/listing-properti/dijual-rumah-cantik-dalam-perumahan-tidak-jauh-dari-jln-kaliurang-oleh-alfian-febriansyah-22080335,20230812_093203
