Title,Location,Price,Bedrooms,Bathrooms,Features,URL,Created_Date,Street,Kapanewon,Kabupaten,Province
rumah mewah private pool dalam cluster utara bandara adisucipto jogja,"jalan raya solo-jogja, kalasan, sleman, di yogyakarta",2200000000,4.0,4.0,"4  4 , 125 m², rp 12.571.429 per m²",https://www.rumah.com/listing-properti/dijual-rumah-mewah-private-pool-dalam-cluster-utara-bandara-adisucipto-jogja-oleh-artana-21995186,20230812_093203,jalan raya solo-jogja,kalasan,sleman,diy
rumah mewah timur pasar redjodani dengan kolam renang shm sleman,"jl jetis bulusari, ngaglik, sleman, di yogyakarta",2180000000,4.0,3.0,"4  3 , 110 m², rp 10.900.000 per m²",https://www.rumah.com/listing-properti/dijual-rumah-mewah-timur-pasar-redjodani-dengan-kolam-renang-shm-sleman-oleh-imam-21734447,20230812_093203,N/A,ngaglik,sleman,diy
rumah murah sleman dekat kampus umy + taman bermain villa sejuk,"jl wates km 6 gamping sleman, gamping, sleman, di yogyakarta",575400000,2.0,1.0,"2  1 , 40 m², rp 7.192.500 per m²",https://www.rumah.com/listing-properti/dijual-rumah-murah-sleman-dekat-kampus-umy-taman-bermain-villa-sejuk-oleh-tika-22001079,20230812_093203,N/A,gamping,sleman,diy
kost dijual jogja eksklusif barat kampus uii,"jalan kaliurang km 14 dekat kampus uii jogja, ngaglik, sleman, di yogyakarta",2885500000,10.0,10.0,"10  10 , 179 m², rp 13.675.355 per m²",https://www.rumah.com/listing-properti/dijual-kost-dijual-jogja-eksklusif-barat-kampus-uii-oleh-ichsan-21992722,20230812_093203,jalan kaliurang km 14 dekat kampus uii jogja,ngaglik,sleman,diy
rumah mewah dalam cluster view sawah dekat aau adisucipto jogja,"jl. raya berbah utara, sleman, sleman, di yogyakarta",1224000000,3.0,3.0,"3  3 , 100 m², rp 11.883.495 per m²",https://www.rumah.com/listing-properti/dijual-rumah-mewah-dalam-cluster-view-sawah-dekat-aau-adisucipto-jogja-oleh-rudi-21999920,20230812_093203,jl. raya berbah utara,N/A,sleman,diy
"700 meter jl. jogja-solo, tanah jogja; dikalasan","jl. jogja - solo, kalasan, sleman,yogyakarta, tegalrejo, yogyakarta, di yogyakarta",3900000,,,"studio , 130 m² (tanah), rp 30.000 per m²",https://www.rumah.com/listing-properti/dijual-700-meter-jl-jogja-solo-tanah-jogja-dikalasan-oleh-mualifin-22071980,20230812_093203,jl. jogja - solo,tegalrejo,sleman,diy
tanah super murah dekat sleman city mall di jalan magelang km 11,"jalan magelang km 11, sleman, sleman, di yogyakarta",4063799999,,,"1042 m² (tanah), rp 3.900.000 per m²",https://www.rumah.com/listing-properti/dijual-tanah-super-murah-dekat-sleman-city-mall-di-jalan-magelang-km-11-oleh-uut-22080513,20230812_093203,jalan magelang km 11,N/A,sleman,diy
ajb notaris: tanah kulonprogo hanya 1 juta-an/m2,"kulonprogo, sleman, wates, jogja, nanggulan, kraton, yogyakarta, di yogyakarta",132000000,,,"110 m² (tanah), rp 1.200.000 per m²",https://www.rumah.com/listing-properti/dijual-ajb-notaris-tanah-kulonprogo-hanya-1-juta-an-m2-oleh-xena-qiana-21665237,20230812_093203,N/A,kraton,sleman,diy
190 juta-an: pekarangan barat kampus uii,"kaliurang, palagan, monjali, sleman, jogja, kraton, yogyakarta, di yogyakarta",191250000,,,"85 m² (tanah), rp 2.250.000 per m²",https://www.rumah.com/listing-properti/dijual-190-juta-an-pekarangan-barat-kampus-uii-oleh-xena-qiana-21694679,20230812_093203,N/A,kraton,sleman,diy
rumah cantik dekat jalan raya tajem,"ngemplak, sleman, di yogyakarta",980000000,4.0,2.0,"4  2 , 150 m², rp 6.282.051 per m²",https://www.rumah.com/listing-properti/dijual-rumah-cantik-dekat-jalan-raya-tajem-oleh-alfian-febriansyah-22079532,20230812_093203,N/A,ngemplak,sleman,diy
